,Date,Airline Name,Arrival Airport,Delay due to Airline in Mins,Delay due to Weather in Mins,Delay due to NAS in Mins,Delay due to Security in Mins,Delay due to Late Aircraft in Mins,# of Airline Delays,# of Weather Delays,# of NAS Delays,# of Security Delays,# of Late Aircraft Delays
53,12/21,Horizon Air,BZN,676.0,20.0,235.0,0.0,580.0,7.7,0.1,5.64,0.0,5.56
54,12/21,Frontier Airlines,MEM,125.0,0.0,168.0,0.0,258.0,3.38,0.0,5.42,0.0,3.2
55,12/21,Republic Airline,MKE,637.0,0.0,508.0,0.0,959.0,14.47,0.0,11.47,0.0,17.05
56,12/21,Southwest Airlines,ISP,1328.0,14.0,316.0,0.0,1511.0,30.51,0.56,10.47,0.0,28.47
57,11/23,SkyWest Airlines Inc.,SWO,129.0,0.0,42.0,0.0,214.0,1.34,0.0,0.66,0.0,2.0
58,11/21,United Air Lines Network,BTR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,11/22,SkyWest Airlines Inc.,CLT,484.0,0.0,0.0,0.0,914.0,15.0,0.0,0.0,0.0,8.0
60,11/21,Southwest Airlines,SJU,1537.0,0.0,61.0,51.0,792.0,37.91,0.0,2.71,1.42,21.96
61,11/23,Southwest Airlines,MSP,1916.0,0.0,552.0,0.0,1460.0,41.91,0.0,19.17,0.0,36.92
62,11/23,Hawaiian Airlines Network,ONT,382.0,0.0,0.0,0.0,40.0,8.02,0.0,0.0,0.0,0.98
63,11/21,PSA Airlines Inc.,LAN,54.0,0.0,65.0,0.0,40.0,2.46,0.0,3.29,0.0,2.24
64,12/23,Delta Air Lines Network,GEG,620.0,930.0,306.0,0.0,28.0,11.84,2.87,8.81,0.0,0.47
65,12/21,American Airlines Network,LAX,17691.0,589.0,7911.0,390.0,11579.0,220.35,6.97,221.28,5.45,132.95
66,12/21,Delta Air Lines Network,PIT,1081.0,170.0,155.0,0.0,203.0,16.77,1.13,4.81,0.0,3.29
67,11/22,Endeavor Air Inc.,RST,0.0,0.0,88.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
68,11/22,Alaska Airlines Network,KTN,1315.0,112.0,468.0,0.0,1089.0,16.91,1.46,11.13,0.0,9.49
69,11/21,Allegiant Air,BGR,244.0,0.0,39.0,0.0,0.0,3.3,0.0,0.7,0.0,0.0
70,12/21,Frontier Airlines,OAK,465.0,0.0,82.0,0.0,258.0,4.41,0.0,2.97,0.0,5.61
71,11/21,Air Wisconsin Airlines Corp,GSO,669.0,0.0,152.0,0.0,702.0,9.05,0.0,5.5,0.0,7.45
72,11/21,Envoy Air,LRD,270.0,0.0,0.0,0.0,87.0,6.48,0.0,0.0,0.0,1.52
73,11/23,SkyWest Airlines Inc.,OMA,1283.0,24.0,210.0,0.0,390.0,16.2,0.63,6.22,0.0,5.95
74,11/21,Endeavor Air Inc.,LAN,400.0,0.0,179.0,0.0,57.0,3.98,0.0,3.66,0.0,1.36
75,11/21,GoJet Airlines LLC d/b/a United Express,HHH,209.0,0.0,42.0,0.0,7.0,2.94,0.0,1.8,0.0,0.26
76,11/22,Alaska Airlines Network,BNA,136.0,364.0,190.0,0.0,373.0,3.39,1.0,5.04,0.0,8.57
77,12/23,Allegiant Air,SDF,219.0,0.0,93.0,0.0,255.0,2.07,0.0,1.73,0.0,3.2
78,11/22,Allegiant Air,SYR,9.0,13.0,48.0,0.0,65.0,0.39,0.68,1.9,0.0,2.03
79,11/23,Delta Air Lines Network,MLB,109.0,0.0,11.0,0.0,89.0,3.03,0.0,0.28,0.0,1.69
80,12/21,PSA Airlines Inc.,BGR,400.0,0.0,117.0,0.0,591.0,12.47,0.0,5.35,0.0,13.18
81,12/21,Delta Air Lines Network,STX,165.0,50.0,70.0,54.0,26.0,2.34,0.66,2.24,1.0,0.76
82,12/22,American Airlines Network,ILM,1394.0,10.0,298.0,10.0,4057.0,18.01,0.11,5.76,0.13,36.99
83,12/22,Republic Airline,BOS,3505.0,1351.0,6205.0,34.0,4123.0,60.08,14.21,105.91,1.0,49.79
84,12/23,Endeavor Air Inc.,DHN,61.0,0.0,8.0,0.0,57.0,1.22,0.0,0.1,0.0,0.69
85,11/23,Envoy Air,RIC,0.0,22.0,0.0,0.0,87.0,0.0,0.2,0.0,0.0,0.8
86,11/23,Alaska Airlines Network,BNA,216.0,0.0,44.0,0.0,124.0,5.17,0.0,1.96,0.0,3.87
87,12/21,Delta Air Lines Network,HDN,195.0,26.0,179.0,0.0,0.0,2.65,1.0,2.35,0.0,0.0
88,11/23,JetBlue Airways,DTW,1661.0,0.0,208.0,0.0,762.0,22.02,0.0,4.59,0.0,10.39
89,11/21,Piedmont Airlines,FLO,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,1.0
90,11/22,Delta Air Lines Network,RSW,2997.0,316.0,1140.0,0.0,1069.0,44.43,2.96,34.18,0.0,14.43
91,12/23,Alaska Airlines Network,YAK,0.0,116.0,124.0,0.0,286.0,0.0,2.0,3.7,0.0,5.3
92,11/22,Allegiant Air,RFD,36.0,15.0,152.0,21.0,52.0,1.01,0.56,1.59,1.0,1.85
93,11/22,Envoy Air,GCK,293.0,60.0,23.0,0.0,70.0,3.0,0.94,1.06,0.0,2.0
94,11/22,Endeavor Air Inc.,ABY,0.0,26.0,28.0,0.0,0.0,0.0,0.74,1.26,0.0,0.0
95,11/23,SkyWest Airlines Inc.,MEI,110.0,0.0,71.0,0.0,0.0,1.96,0.0,2.04,0.0,0.0
96,11/23,PSA Airlines Inc.,SDF,125.0,21.0,76.0,0.0,267.0,2.44,0.21,2.46,0.0,3.88
97,11/22,PSA Airlines Inc.,HSV,237.0,0.0,109.0,0.0,787.0,4.35,0.0,3.37,0.0,8.28
98,12/22,United Air Lines Network,SAN,4679.0,406.0,1304.0,0.0,5988.0,70.19,5.01,34.55,0.0,60.26
99,12/23,Allegiant Air,SGF,266.0,0.0,68.0,0.0,165.0,4.82,0.0,1.71,0.0,1.47
100,12/21,Hawaiian Airlines Network,PDX,1195.0,53.0,0.0,0.0,122.0,22.31,0.86,0.0,0.0,2.83
101,11/22,Envoy Air,FAY,71.0,33.0,35.0,0.0,339.0,1.0,0.15,1.09,0.0,2.77
102,12/22,Spirit Airlines,BWI,5695.0,349.0,2532.0,134.0,4562.0,77.61,3.7,36.38,3.23,49.08
103,12/23,Air Wisconsin Airlines Corp,MKE,1247.0,1027.0,113.0,0.0,340.0,8.79,2.18,4.23,0.0,6.8
104,12/23,Mesa Airlines Inc.,ECP,36.0,0.0,0.0,0.0,149.0,0.37,0.0,0.0,0.0,1.63
105,12/21,Envoy Air,LAW,157.0,61.0,120.0,0.0,155.0,4.5,1.3,4.25,0.0,2.94
106,11/21,JetBlue Airways,PDX,387.0,0.0,75.0,0.0,94.0,5.82,0.0,1.94,0.0,1.24
107,12/22,SkyWest Airlines Inc.,LFT,1468.0,1440.0,78.0,0.0,428.0,14.0,12.0,1.0,0.0,6.0
108,11/23,Delta Air Lines Network,BHM,461.0,0.0,34.0,0.0,44.0,13.4,0.0,1.52,0.0,2.08
109,11/23,Envoy Air,COS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,12/21,GoJet Airlines LLC d/b/a United Express,ROC,627.0,0.0,183.0,0.0,340.0,10.3,0.0,4.48,0.0,5.22
111,12/21,Republic Airline,ROC,497.0,0.0,101.0,0.0,216.0,6.33,0.0,1.7,0.0,3.97
112,11/21,PSA Airlines Inc.,GPT,91.0,0.0,45.0,0.0,158.0,1.14,0.0,1.99,0.0,1.88
113,12/21,Delta Air Lines Network,ALB,765.0,29.0,54.0,0.0,446.0,11.59,0.78,1.86,0.0,3.77
114,11/22,Southwest Airlines,MHT,866.0,0.0,171.0,0.0,791.0,23.05,0.0,5.36,0.0,21.59
115,12/23,Endeavor Air Inc.,BHM,548.0,0.0,99.0,0.0,203.0,6.41,0.0,2.8,0.0,2.8
116,12/22,Frontier Airlines,CLT,1051.0,247.0,251.0,0.0,1202.0,19.29,2.63,7.1,0.0,17.98
117,11/21,SkyWest Airlines Inc.,SJT,76.0,189.0,0.0,0.0,20.0,2.0,1.0,0.0,0.0,1.0
118,12/21,United Air Lines Network,MSO,625.0,0.0,93.0,0.0,592.0,11.58,0.0,1.05,0.0,8.36
119,12/21,Delta Air Lines Network,RDU,3490.0,1036.0,991.0,0.0,2413.0,55.34,5.65,29.78,0.0,30.22
120,11/22,Envoy Air,EVV,53.0,140.0,26.0,0.0,120.0,1.6,1.0,0.46,0.0,1.93
121,12/23,Allegiant Air,SFB,6412.0,1588.0,3430.0,6.0,6973.0,48.49,3.79,67.32,0.04,75.37
122,12/23,Frontier Airlines,PWM,60.0,130.0,19.0,0.0,237.0,1.13,0.99,0.39,0.0,3.49
123,11/23,United Air Lines Network,RSW,533.0,0.0,633.0,0.0,398.0,10.29,0.0,21.46,0.0,8.26
124,12/21,Envoy Air,TYS,163.0,0.0,223.0,0.0,93.0,5.68,0.0,7.86,0.0,2.46
125,11/23,Endeavor Air Inc.,CHA,4.0,0.0,25.0,0.0,4.0,0.22,0.0,1.56,0.0,0.22
126,12/21,Air Wisconsin Airlines Corp,SDF,365.0,0.0,23.0,0.0,43.0,4.96,0.0,1.0,0.0,1.04
127,11/21,SkyWest Airlines Inc.,HLN,57.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
128,12/22,JetBlue Airways,ATL,3781.0,15.0,905.0,51.0,1807.0,52.93,0.52,17.66,1.0,21.89
129,11/22,Allegiant Air,CKB,0.0,30.0,27.0,0.0,56.0,0.0,0.57,0.68,0.0,1.75
