,Date,Airline Name,Arrival Airport,airport_name,Delay due to Airline in Mins,Delay due to Weather in Mins,Delay due to NAS in Mins,Delay due to Security in Mins,Delay due to Late Aircraft in Mins,# of Airline Delays,# of Weather Delays,# of NAS Delays,# of Security Delays,# of Late Aircraft Delays
78,12/2021,United Air Lines Network,SNA,"Santa Ana, CA: John Wayne Airport-Orange County",1982.0,15.0,820.0,0.0,2010.0,43.8,0.26,24.22,0.0,29.72
79,12/2022,PSA Airlines Inc.,SYR,"Syracuse, NY: Syracuse Hancock International",308.0,53.0,38.0,0.0,108.0,4.64,1.27,1.14,0.0,2.96
80,12/2022,Envoy Air,FAR,"Fargo, ND: Hector International",25.0,1006.0,557.0,0.0,437.0,1.0,4.39,11.05,0.0,3.55
81,11/2021,JetBlue Airways,SEA,"Seattle, WA: Seattle/Tacoma International",516.0,0.0,161.0,0.0,0.0,8.32,0.0,6.68,0.0,0.0
82,12/2023,PSA Airlines Inc.,MHT,"Manchester, NH: Manchester Boston Regional",406.0,50.0,119.0,0.0,255.0,7.46,1.16,4.79,0.0,4.59
83,11/2021,Southwest Airlines,BDL,"Hartford, CT: Bradley International",1157.0,0.0,327.0,0.0,800.0,31.54,0.0,10.03,0.0,20.43
84,12/2023,Spirit Airlines,TPA,"Tampa, FL: Tampa International",3190.0,49.0,3939.0,68.0,3070.0,45.6,2.2,79.08,1.0,40.13
85,12/2023,Piedmont Airlines,MHT,"Manchester, NH: Manchester Boston Regional",127.0,0.0,3.0,0.0,39.0,2.0,0.0,0.07,0.0,0.93
86,12/2023,Endeavor Air Inc.,SGF,"Springfield, MO: Springfield-Branson National",69.0,40.0,20.0,0.0,21.0,3.0,1.0,1.0,0.0,1.0
87,12/2023,United Air Lines Network,EUG,"Eugene, OR: Mahlon Sweet Field",276.0,0.0,92.0,0.0,412.0,5.07,0.0,3.22,0.0,4.71
88,12/2023,Mesa Airlines Inc.,CMH,"Columbus, OH: John Glenn Columbus International",81.0,0.0,15.0,0.0,27.0,2.18,0.0,1.0,0.0,0.82
