,Year,Month,Airline Name,Arrival Airport,airport_name,Delay due to Airline in Mins,Delay due to Weather in Mins,Delay due to NAS in Mins,Delay due to Security in Mins,Delay due to Late Aircraft in Mins,# of Airline Delays,# of Weather Delays,# of NAS Delays,# of Security Delays,# of Late Aircraft Delays
91,2023,11,Endeavor Air Inc.,TVC,"Traverse City, MI: Cherry Capital",168.0,41.0,76.0,0.0,39.0,3.38,1.0,1.58,0.0,1.04
92,2022,11,SkyWest Airlines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",271.0,0.0,0.0,0.0,254.0,6.0,0.0,0.0,0.0,4.0
93,2022,11,SkyWest Airlines Inc.,GSP,"Greer, SC: Greenville-Spartanburg International",741.0,0.0,121.0,0.0,422.0,16.0,0.0,1.0,0.0,6.0
94,2022,11,Delta Air Lines Network,JFK,"New York, NY: John F. Kennedy International",11567.0,562.0,5658.0,40.0,8655.0,133.66,5.62,175.3,0.87,105.54
95,2022,11,Endeavor Air Inc.,BUF,"Buffalo, NY: Buffalo Niagara International",489.0,410.0,516.0,0.0,792.0,9.17,1.99,14.64,0.0,14.21
96,2021,11,Republic Airline,STL,"St. Louis, MO: St Louis Lambert International",758.0,0.0,228.0,0.0,203.0,13.65,0.0,7.74,0.0,6.61
97,2023,12,American Airlines Network,EYW,"Key West, FL: Key West International",736.0,15.0,1178.0,0.0,1543.0,9.99,0.6,30.78,0.0,18.63
98,2021,12,SkyWest Airlines Inc.,GTF,"Great Falls, MT: Great Falls International",970.0,180.0,0.0,0.0,0.0,14.0,4.0,0.0,0.0,0.0
99,2021,11,Endeavor Air Inc.,PIT,"Pittsburgh, PA: Pittsburgh International",590.0,101.0,188.0,0.0,599.0,8.06,0.67,5.22,0.0,9.05
100,2022,12,Air Wisconsin Airlines Corp,CHS,"Charleston, SC: Charleston AFB/International",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,2023,11,United Air Lines Network,BNA,"Nashville, TN: Nashville International",1015.0,0.0,396.0,0.0,1245.0,17.99,0.0,12.5,0.0,16.51
102,2023,11,United Air Lines Network,ONT,"Ontario, CA: Ontario International",222.0,0.0,33.0,0.0,271.0,4.86,0.0,1.14,0.0,6.0
103,2021,12,Republic Airline,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",1844.0,1182.0,593.0,0.0,866.0,36.82,5.82,22.19,0.0,17.16
104,2021,11,Alaska Airlines Network,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",262.0,0.0,133.0,0.0,277.0,6.63,0.0,4.62,0.0,3.75
105,2022,11,Allegiant Air,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",319.0,0.0,74.0,0.0,132.0,5.79,0.0,3.37,0.0,3.84
106,2022,11,SkyWest Airlines Inc.,ACV,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",581.0,293.0,112.0,0.0,402.0,13.0,3.0,1.0,0.0,4.0
107,2021,11,Envoy Air,TYS,"Knoxville, TN: McGhee Tyson",186.0,291.0,512.0,0.0,193.0,5.96,1.47,17.72,0.0,3.86
108,2022,12,American Airlines Network,PIT,"Pittsburgh, PA: Pittsburgh International",3688.0,447.0,459.0,0.0,6450.0,49.86,6.01,15.0,0.0,67.13
109,2023,12,SkyWest Airlines Inc.,BIS,"Bismarck/Mandan, ND: Bismarck Municipal",291.0,993.0,147.0,0.0,174.0,5.7,4.34,2.96,0.0,3.0
110,2023,12,Air Wisconsin Airlines Corp,SGF,"Springfield, MO: Springfield-Branson National",16.0,0.0,15.0,0.0,13.0,0.76,0.0,0.67,0.0,0.57
111,2021,12,Republic Airline,MIA,"Miami, FL: Miami International",9.0,87.0,162.0,0.0,35.0,0.21,2.0,7.05,0.0,0.74
112,2021,12,PSA Airlines Inc.,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",116.0,0.0,254.0,23.0,378.0,3.0,0.0,11.06,0.25,2.69
113,2023,12,Frontier Airlines,MIA,"Miami, FL: Miami International",2169.0,5.0,1279.0,0.0,4052.0,22.13,0.07,24.8,0.0,39.0
114,2021,12,Envoy Air,CHA,"Chattanooga, TN: Lovell Field",341.0,0.0,60.0,0.0,134.0,10.04,0.0,2.34,0.0,3.61
115,2022,12,United Air Lines Network,LGA,"New York, NY: LaGuardia",2935.0,498.0,1976.0,0.0,5412.0,38.2,4.79,39.19,0.0,54.83
116,2021,12,SkyWest Airlines Inc.,MEI,"Meridian, MS: Key Field",273.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
117,2023,11,SkyWest Airlines Inc.,CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",627.0,86.0,132.0,0.0,707.0,8.95,1.78,2.2,0.0,7.07
118,2023,12,Frontier Airlines,AUS,"Austin, TX: Austin - Bergstrom International",15.0,0.0,16.0,0.0,48.0,0.6,0.0,0.51,0.0,0.89
119,2023,11,PSA Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",9929.0,231.0,6032.0,166.0,17850.0,96.88,2.64,178.01,2.93,158.54
120,2022,11,SkyWest Airlines Inc.,BTV,"Burlington, VT: Burlington International",539.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
121,2023,11,Alaska Airlines Network,BOS,"Boston, MA: Logan International",519.0,37.0,112.0,0.0,345.0,13.83,0.84,3.24,0.0,8.09
