,Year,Month,Airline Name,Arrival Airport,Delay due to Airline in Mins,Delay due to Weather in Mins,Delay due to NAS in Mins,Delay due to Security in Mins,Delay due to Late Aircraft in Mins,# of Airline Delays,# of Weather Delays,# of NAS Delays,# of Security Delays,# of Late Aircraft Delays
170,2021,11,JetBlue Airways,BUF,1546.0,0.0,173.0,0.0,702.0,28.72,0.0,7.23,0.0,9.05
171,2021,11,Allegiant Air,PSC,56.0,0.0,24.0,0.0,101.0,2.99,0.0,0.96,0.0,4.05
172,2021,12,Horizon Air,LAX,784.0,175.0,1789.0,0.0,1860.0,15.68,2.18,49.56,0.0,24.57
173,2021,11,Hawaiian Airlines Network,SEA,89.0,0.0,0.0,0.0,5.0,2.91,0.0,0.0,0.0,0.09
174,2021,12,"Commutair Aka Champlain Enterprises, Inc.",COS,216.0,0.0,134.0,0.0,0.0,3.67,0.0,4.33,0.0,0.0
175,2022,11,Republic Airline,MIA,46.0,0.0,223.0,0.0,88.0,1.68,0.0,7.93,0.0,1.39
176,2021,11,Endeavor Air Inc.,MLB,28.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
177,2022,12,CommuteAir LLC dba CommuteAir,MFE,133.0,7.0,33.0,0.0,70.0,2.43,0.11,2.0,0.0,1.46
178,2021,12,PSA Airlines Inc.,IAD,128.0,0.0,77.0,0.0,60.0,2.89,0.0,1.53,0.0,1.58
179,2023,12,CommuteAir LLC dba CommuteAir,LIT,553.0,0.0,168.0,0.0,454.0,12.26,0.0,4.17,0.0,3.57
180,2023,12,Frontier Airlines,FSD,18.0,0.0,0.0,0.0,59.0,1.0,0.0,0.0,0.0,2.0
181,2023,12,Southwest Airlines,ORF,1594.0,0.0,228.0,0.0,1650.0,35.87,0.0,7.46,0.0,27.67
182,2022,12,Mesa Airlines Inc.,MFE,290.0,6.0,57.0,0.0,1553.0,3.88,0.05,1.12,0.0,4.95
183,2021,12,Envoy Air,CVG,813.0,28.0,281.0,0.0,965.0,20.02,0.35,9.4,0.0,18.24
184,2021,12,SkyWest Airlines Inc.,LGB,1024.0,1436.0,0.0,0.0,125.0,17.0,12.0,0.0,0.0,3.0
185,2022,11,SkyWest Airlines Inc.,IDA,1793.0,1059.0,39.0,0.0,284.0,34.0,5.0,1.0,0.0,4.0
186,2022,11,Southwest Airlines,PHL,1365.0,0.0,290.0,0.0,1158.0,34.48,0.0,7.01,0.0,29.51
187,2023,11,PSA Airlines Inc.,ORF,436.0,7.0,309.0,0.0,1208.0,8.67,0.19,10.9,0.0,20.24
188,2022,12,Piedmont Airlines,EWN,322.0,44.0,62.0,0.0,451.0,2.0,1.24,2.0,0.0,3.76
189,2021,12,Republic Airline,RIC,289.0,76.0,418.0,0.0,310.0,7.82,2.62,15.21,0.0,6.34
190,2021,12,Alaska Airlines Network,OME,287.0,138.0,383.0,0.0,373.0,4.69,2.76,10.35,0.0,7.21
191,2022,12,SkyWest Airlines Inc.,LBB,97.0,231.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0
192,2022,12,JetBlue Airways,BZN,359.0,0.0,6.0,0.0,108.0,3.21,0.0,0.1,0.0,0.69
193,2023,11,Delta Air Lines Network,BIS,11.0,0.0,19.0,0.0,6.0,0.65,0.0,1.0,0.0,0.35
194,2023,11,Republic Airline,BOS,3048.0,24.0,1752.0,29.0,501.0,50.95,0.13,55.99,0.94,10.98
195,2022,12,Frontier Airlines,PWM,138.0,0.0,8.0,0.0,139.0,2.96,0.0,0.24,0.0,1.8
196,2022,11,Delta Air Lines Network,JAC,71.0,474.0,23.0,0.0,0.0,1.62,1.99,0.39,0.0,0.0
197,2022,11,American Airlines Network,SBA,1675.0,7.0,109.0,0.0,1374.0,11.1,0.05,1.96,0.0,11.89
198,2023,11,PSA Airlines Inc.,ALB,138.0,0.0,42.0,0.0,1214.0,2.97,0.0,1.79,0.0,8.24
199,2022,12,SkyWest Airlines Inc.,BHM,710.0,233.0,0.0,0.0,544.0,10.0,1.0,0.0,0.0,6.0
